date,pollutant,ws,wd
2021-12-19,48.448,3.55,175.31
2021-12-20,35.692,5.04,182.5
2021-12-21,29.604,3.67,223.56
2021-12-22,34.782,4.41,187.75
2021-12-23,33.02,5.62,210.75
2021-12-24,33.741,6.66,218.38
2021-12-25,36.915,3.08,252.19
2021-12-26,52.959,6.37,137.25
2021-12-27,23.154,4.79,232.19
2021-12-28,22.244,6.84,235.12
2021-12-29,34.581,4.95,48.81
2021-12-30,44.32,2.54,195.88
2021-12-31,40.569,4.75,199.62
2022-01-01,47.251,8.86,43.56
2022-01-02,26.091,4.59,308.56
2022-01-03,54.965,4.31,194.94
2022-01-04,15.223,8.48,214.19
2022-01-05,8.099,7.73,323
2022-01-06,5.397,5.66,339.5
2022-01-07,13.975,3.52,130.44
2022-01-08,14.767,6.59,196.56
2022-01-09,23.138,5.75,211
2022-01-10,16.45,3.34,219.38
2022-01-11,13.642,6.88,205.38
2022-01-12,7.844,4.05,261.06
2022-01-13,7.039,4.55,266.62
2022-01-14,27.77,3.23,113.38
2022-01-15,23.33,7.91,65.06
2022-01-16,26.111,3.98,231.44
2022-01-17,21.923,4.5,257.19
2022-01-18,10.244,5.6,221.31
2022-01-19,16.683,9.17,63.56
2022-01-20,3.312,4.65,153.69
2022-01-21,7.077,3.42,154.69
2022-01-22,6.932,4.58,243.62
2022-01-23,8.189,5.24,208.5
2022-01-24,8.606,6.51,205.94
2022-01-25,6.74,4.94,23.81
2022-01-26,5.576,3.71,157.62
2022-01-27,10.422,4.79,286.62
2022-01-28,9.985,4.52,292.62
2022-01-29,8.501,5.04,239.88
2022-01-30,21.209,3.55,239.38
2022-01-31,23.035,5.12,178.81
2022-02-01,12.507,6.54,119.81
2022-02-02,6.589,10.14,24.31
2022-02-03,7.555,7.73,22.25
2022-02-04,9.674,4.26,241.75
2022-02-05,9.65,6.1,172.56
2022-02-06,9.914,4.45,274.69
2022-02-07,14.283,4.52,252.69
2022-02-08,8.138,5.62,251.56
2022-02-09,6.495,5.8,306.75
2022-02-10,7.093,5.18,275.94
2022-02-11,1.793,8.25,305.88
2022-02-12,8.758,5.28,294.38
2022-02-13,6.535,5.1,221.31
2022-02-14,8.269,3.96,194.81
2022-02-15,16.271,8.25,159.5
2022-02-16,9.592,9.71,213.25
2022-02-17,20.884,8.73,157.62
2022-02-18,14.189,7.07,224.31
2022-02-19,7.637,4.82,138.12
2022-02-20,7.498,8.46,207.12
2022-02-21,15.834,6.62,211.5
2022-02-22,16.87,8.87,315.19
2022-02-23,9.647,6.06,117.69
2022-02-24,18.503,4.38,175.25
2022-02-25,20.116,3.55,256.94
2022-02-26,33.821,1.7,184.06
2022-02-27,33.393,3.3,273.94
2022-02-28,25.426,3.55,243.44
2022-03-01,17.71,4.3,238.12
2022-03-02,26.337,4.7,196.75
2022-03-03,33.42,6.55,68.56
2022-03-04,25.819,6.34,147.56
2022-03-05,41.307,9.7,213.38
2022-03-06,20.079,5.45,267.69
2022-03-07,24.137,5.09,306.5
2022-03-08,35.598,2.21,224.06
2022-03-09,13.823,4.69,114
2022-03-10,11.337,5.73,46.19
2022-03-11,13.814,5.88,330.75
2022-03-12,4.457,4.82,260.56
2022-03-13,5.651,6.83,209.88
2022-03-14,9.619,5.47,194.56
2022-03-15,30.359,2.36,291.62
2022-03-16,38.115,5.22,195.19
2022-03-17,14.998,5.21,128.69
2022-03-18,6.472,8.6,209.88
2022-03-19,12.78,4.09,275.06
2022-03-20,10.973,6.14,187.44
2022-03-21,21.783,6.41,149.81
2022-03-22,16.303,6.05,239.81
2022-03-23,6.618,8.32,319.5
2022-03-24,10.194,4.59,303.69
2022-03-25,9.372,6.2,301.19
2022-03-26,6.687,4.77,257.69
2022-03-27,3.835,4.27,53.25
2022-03-28,18.628,6.62,97.62
2022-03-29,19.07,8.78,154.56
2022-03-30,13.095,7.8,291.44
2022-03-31,17.347,5.16,280.25
2022-04-01,22.458,3.12,164.12
2022-04-02,9.583,5.19,233.88
2022-04-03,16.624,5.12,195.38
2022-04-04,25.908,3.59,141.75
2022-04-05,12.294,5.98,216.44
2022-04-06,0.828,7.59,271.75
2022-04-07,2.581,8.98,298.44
2022-04-08,2.339,7.5,323.5
2022-04-09,9.689,3.81,229.69
2022-04-10,12.536,7.54,221.31
2022-04-11,14.335,3.05,86
2022-04-12,18.715,10.44,164.75
2022-04-13,8.732,7.4,302.44
2022-04-14,8.771,6.12,251.56
2022-04-15,13.706,4.12,163.31
2022-04-16,12.281,5.25,30.88
2022-04-17,14.861,4.84,68.5
2022-04-18,15.467,5.34,278.31
2022-04-19,13.578,4.75,121.06
